id,date,tweet,username,user_location,language,hashtags,likeCount,replyCount,retweetCount
1716297491706982496,2023-10-23 03:36:23+00:00,"@mayracosta21 corona extra, corona tropical o cervezas budweiser!",DavidSt24588597,"Villavicencio, Colombia",es,[],0,0,0
1703563511706616160,2023-09-18 00:16:06+00:00,te quiero mucho Corona tropical de limón y toronja,CafconMilk,🔞 @notcoffeeww,es,[],0,1,0
1702065748196082034,2023-09-13 21:04:31+00:00,Fui a comprar una corona tropical y se acabaron 😭,g_geraaal,,es,[],1,0,0
1700106303492719028,2023-09-08 11:18:23+00:00,@Ken08 Ooooh corona tropical 😍😏,EgglestonMathew,Sutton Coldfield ,es,[],1,2,0
1699271736070406388,2023-09-06 04:02:07+00:00,"@MastercardCol @WunThompson @McCannColombia @CaratColombia @DattisCo @TalentoUnilever @McDonaldsCol @RamoColombia @DDBColombia @HavasGroupCol @arcosdorados @TRINEOTV @StarcomSpain 🥉Campaña: Colombia no sabe de Hard Seltzers, pero ahora sabe de Corona Tropical, Marca: @Familia_Corona, Agencia: David, DraftLine Colombia - ABInbev, Anunciante: @abinbev @BAVARIA_OFICIAL, Empresa Contribuyente: @DattisCo, @ZenithESP, Páramo LAB,@SECNewgate_es https://t.co/o7ha7Zykfp",EffieColombia,Colombia,es,[],0,0,0
1698079333263262123,2023-09-02 21:03:56+00:00,"TE LO JUROO luego le siguió una botellita de piscano y ENCIMA DESPUÉS una lata de corona tropical, yo llegué a mi casa pero MAL, directo a mi clase virtual (me dormí las dos horas de clase)",greecejjfs,she. smirnoff ice green apple ,es,[],0,2,0
1698078653647552688,2023-09-02 21:01:14+00:00,@greecejjfs NICAGANDOWKFIWK PTMMM,hyuntopline,17 ✮,in,[],1,0,0
1694544243262411120,2023-08-24 02:56:45+00:00,ME QUEDAN 10 CANASTAS DE CORONA TROPICAL,Lfgr160298,"Barranquilla, Colombia",es,[],0,0,0
1691197085129846784,2023-08-14 21:16:20+00:00,"estoy re mareada loco qjfkkd primero un sparkles o algo así, luego un piscano, y después una corona tropical TE AMO AMIGO PITUCO DE LUCERO nos compró todo el trago💗",greecejjfs,she. smirnoff ice green apple ,es,[],1,0,0
1690850728984682496,2023-08-13 22:20:02+00:00,se acabaron las corona tropical 😡😡😡,_millyypz,,es,[],1,1,0
